Date,Open,High,Low,Close,Adj Close,Volume
19-10-2012,7.900000095,7.960000038,7.75,7.829999924,7.829999924,206703
22-10-2012,8.210000038,8.210000038,7.699999809,7.800000191,7.800000191,159497
23-10-2012,7.829999924,7.900000095,7.739999771,7.840000153,7.840000153,112320
25-10-2012,8,8,7.71999979,7.820000172,7.820000172,179324
29-10-2012,7.840000153,7.900000095,7.610000134,7.630000114,7.630000114,123658
30-10-2012,7.650000095,7.690000057,7.449999809,7.53000021,7.53000021,258698
31-10-2012,7.5,7.599999905,7.429999828,7.519999981,7.519999981,166433
01-11-2012,7.800000191,7.889999866,7.75,7.889999866,7.889999866,519344
02-11-2012,8.149999619,8.229999542,8.039999962,8.109999657,8.109999657,486487
05-11-2012,8.109999657,8.25,7.710000038,7.710000038,7.710000038,966173
06-11-2012,7.710000038,7.710000038,7.559999943,7.619999886,7.619999886,176325
07-11-2012,7.610000134,7.699999809,7.400000095,7.46999979,7.46999979,480564
08-11-2012,7.449999809,7.5,7.380000114,7.409999847,7.409999847,206351
09-11-2012,7.409999847,7.599999905,7.400000095,7.409999847,7.409999847,179878
12-11-2012,7.400000095,7.5,7.380000114,7.440000057,7.440000057,96708
15-11-2012,7.5,7.679999828,7.320000172,7.360000134,7.360000134,319724
16-11-2012,7.449999809,7.489999771,7.199999809,7.21999979,7.21999979,348483
19-11-2012,7.300000191,7.349999905,7.050000191,7.099999905,7.099999905,297436
20-11-2012,7,7.440000057,7,7.230000019,7.230000019,210443
21-11-2012,7.210000038,7.349999905,7.099999905,7.150000095,7.150000095,128632
22-11-2012,7.5,7.5,7.130000114,7.179999828,7.179999828,140781
23-11-2012,7,7.400000095,7,7.239999771,7.239999771,215948
26-11-2012,7.25,7.329999924,7.150000095,7.21999979,7.21999979,175179
27-11-2012,7.269999981,7.269999981,7.099999905,7.139999866,7.139999866,736911
29-11-2012,7.119999886,7.269999981,7.110000134,7.170000076,7.170000076,547400
30-11-2012,7.199999809,7.519999981,7.159999847,7.519999981,7.519999981,360297
03-12-2012,7.889999866,7.889999866,7.599999905,7.889999866,7.889999866,1073524
04-12-2012,8.18999958,8.279999733,8.050000191,8.279999733,8.279999733,703439
05-12-2012,8.630000114,8.68999958,8.449999809,8.68999958,8.68999958,737193
06-12-2012,9.119999886,9.119999886,8.800000191,9.119999886,9.119999886,4251432
07-12-2012,9.479999542,9.569999695,9.409999847,9.569999695,9.569999695,1215654
10-12-2012,9.979999542,10.03999996,9.75,10.03999996,10.03999996,1644579
11-12-2012,10.47000027,10.53999996,9.539999962,9.539999962,9.539999962,5066220
12-12-2012,10.01000023,10.01000023,9.069999695,9.069999695,9.069999695,263527
13-12-2012,8.649999619,9.520000458,8.619999886,9.199999809,9.199999809,3259848
14-12-2012,9.630000114,9.649999619,8.930000305,9.079999924,9.079999924,890737
17-12-2012,9.079999924,9.279999733,8.899999619,8.930000305,8.930000305,508063
18-12-2012,8.880000114,9.300000191,8.619999886,9.159999847,9.159999847,524282
19-12-2012,9.199999809,9.229999542,8.859999657,9,9,407240
20-12-2012,8.949999809,9.090000153,8.75,8.779999733,8.779999733,310637
21-12-2012,8.890000343,8.890000343,8.460000038,8.550000191,8.550000191,319806
24-12-2012,8.649999619,8.779999733,8.460000038,8.670000076,8.670000076,268976
26-12-2012,8.609999657,8.840000153,8.5,8.710000038,8.710000038,231566
27-12-2012,8.800000191,8.829999924,8.600000381,8.670000076,8.670000076,233238
28-12-2012,8.75,9,8.659999847,8.81000042,8.81000042,229494
31-12-2012,9.020000458,9.020000458,8.75,8.800000191,8.800000191,194079
01-01-2013,8.800000191,8.949999809,8.779999733,8.850000381,8.850000381,145061
02-01-2013,9,9.289999962,8.81000042,9.289999962,9.289999962,486285
03-01-2013,9.649999619,9.649999619,9,9.050000191,9.050000191,682251
04-01-2013,9.199999809,9.199999809,8.81000042,8.890000343,8.890000343,334636
07-01-2013,9.029999733,9.029999733,8.729999542,8.789999962,8.789999962,460702
08-01-2013,9,9,8.609999657,8.659999847,8.659999847,445081
09-01-2013,8.5,8.800000191,8.5,8.640000343,8.640000343,330737
10-01-2013,8.699999809,8.699999809,8.279999733,8.380000114,8.380000114,598719
11-01-2013,8.680000305,8.68999958,8.350000381,8.43999958,8.43999958,352528
14-01-2013,8.470000267,8.600000381,8.300000191,8.420000076,8.420000076,231786
15-01-2013,8.5,8.600000381,8.159999847,8.220000267,8.220000267,519607
16-01-2013,8.340000153,8.340000153,8.100000381,8.140000343,8.140000343,259669
17-01-2013,8.229999542,8.340000153,7.829999924,7.940000057,7.940000057,438238
18-01-2013,8,8.329999924,7.949999809,8.319999695,8.319999695,603137
21-01-2013,8.489999771,8.489999771,8.100000381,8.149999619,8.149999619,357049
22-01-2013,8.149999619,8.289999962,8.029999733,8.06000042,8.06000042,153487
23-01-2013,8.199999809,8.199999809,7.860000134,7.889999866,7.889999866,267618
24-01-2013,8.039999962,8.039999962,7.619999886,7.670000076,7.670000076,270913
25-01-2013,7.769999981,7.769999981,7.570000172,7.710000038,7.710000038,301843
28-01-2013,7.75,8.090000153,7.75,8,8,351953
29-01-2013,8.399999619,8.399999619,7.699999809,7.75,7.75,288423
30-01-2013,7.840000153,7.869999886,7.559999943,7.659999847,7.659999847,300723
31-01-2013,7.650000095,7.980000019,7.650000095,7.869999886,7.869999886,209932
01-02-2013,7.869999886,8.180000305,7.699999809,8.039999962,8.039999962,310018
04-02-2013,8.100000381,8.43999958,8.010000229,8.06000042,8.06000042,438521
05-02-2013,7.949999809,7.980000019,7.75,7.769999981,7.769999981,210546
06-02-2013,8,8,7.619999886,7.650000095,7.650000095,212624
07-02-2013,7.75,7.78000021,7.349999905,7.429999828,7.429999828,306148
08-02-2013,7.599999905,7.630000114,7.25,7.320000172,7.320000172,394618
11-02-2013,7.489999771,7.489999771,7.25,7.369999886,7.369999886,462307
12-02-2013,7.5,7.5,7.010000229,7.010000229,7.010000229,490930
13-02-2013,7.010000229,7.139999866,6.960000038,7.010000229,7.010000229,337924
14-02-2013,6.900000095,7.090000153,6.75,6.809999943,6.809999943,267477
15-02-2013,6.940000057,6.940000057,6.550000191,6.670000076,6.670000076,347042
18-02-2013,6.699999809,7,6.670000076,7,7,367125
19-02-2013,7.239999771,7.349999905,7.199999809,7.329999924,7.329999924,499462
20-02-2013,7.349999905,7.639999866,7.25,7.329999924,7.329999924,363362
21-02-2013,7.340000153,7.389999866,6.96999979,7,7,321033
22-02-2013,7,7.03000021,6.820000172,6.909999847,6.909999847,163303
25-02-2013,7,7,6.800000191,6.860000134,6.860000134,174077
26-02-2013,6.800000191,6.920000076,6.519999981,6.539999962,6.539999962,390565
27-02-2013,6.559999943,6.849999905,6.300000191,6.769999981,6.769999981,481179
28-02-2013,6.809999943,6.849999905,6.440000057,6.449999809,6.449999809,292883
01-03-2013,6.449999809,6.699999809,6.21999979,6.590000153,6.590000153,420333
04-03-2013,6.599999905,6.730000019,6.269999981,6.269999981,6.269999981,718659
05-03-2013,6.269999981,6.300000191,5.96999979,6.090000153,6.090000153,931879
06-03-2013,6.119999886,6.389999866,6.070000172,6.389999866,6.389999866,246137
07-03-2013,6.389999866,6.900000095,6.389999866,6.829999924,6.829999924,336017
08-03-2013,7,7.150000095,6.829999924,6.909999847,6.909999847,434217
11-03-2013,7,7.139999866,6.75,6.900000095,6.900000095,366344
12-03-2013,7.050000191,7.050000191,6.71999979,6.789999962,6.789999962,161717
13-03-2013,7.349999905,7.349999905,6.449999809,6.519999981,6.519999981,166402
14-03-2013,6.579999924,6.679999828,6.349999905,6.5,6.5,239643
15-03-2013,6.599999905,6.599999905,6.400000095,6.409999847,6.409999847,130753
18-03-2013,6.550000191,7,6.210000038,6.449999809,6.449999809,464377
19-03-2013,6.599999905,6.599999905,6.300000191,6.300000191,6.300000191,282277
20-03-2013,6.300000191,6.429999828,5.929999828,5.949999809,5.949999809,545999
21-03-2013,6.010000229,6.159999847,5.699999809,5.769999981,5.769999981,528495
22-03-2013,5.829999924,5.829999924,5.420000076,5.460000038,5.460000038,540782
25-03-2013,5.650000095,5.75,5.019999981,5.190000057,5.190000057,811660
26-03-2013,5.119999886,5.349999905,5.050000191,5.179999828,5.179999828,296749
28-03-2013,5.199999809,5.690000057,5.050000191,5.599999905,5.599999905,467861
01-04-2013,5.599999905,6.159999847,5.599999905,6.159999847,6.159999847,377633
02-04-2013,6.329999924,6.400000095,6.050000191,6.199999809,6.199999809,369998
03-04-2013,6.25,6.400000095,6.019999981,6.090000153,6.090000153,539116
04-04-2013,6,6.099999905,5.809999943,5.900000095,5.900000095,175377
05-04-2013,6,6.150000095,5.909999847,5.949999809,5.949999809,142030
08-04-2013,6.050000191,6.050000191,5.820000172,5.840000153,5.840000153,212082
09-04-2013,5.96999979,6,5.75,5.789999962,5.789999962,113772
10-04-2013,5.769999981,5.849999905,5.5,5.659999847,5.659999847,172641
11-04-2013,5.519999981,5.829999924,5.519999981,5.610000134,5.610000134,133250
12-04-2013,5.519999981,5.650000095,5.460000038,5.550000191,5.550000191,99946
15-04-2013,5.5,5.849999905,5.449999809,5.730000019,5.730000019,203941
16-04-2013,5.78000021,5.800000191,5.619999886,5.650000095,5.650000095,196325
17-04-2013,5.650000095,5.889999866,5.599999905,5.739999771,5.739999771,225839
18-04-2013,5.699999809,5.800000191,5.650000095,5.690000057,5.690000057,136744
22-04-2013,5.75,5.949999809,5.699999809,5.909999847,5.909999847,141614
23-04-2013,5.949999809,5.949999809,5.71999979,5.75,5.75,151708
25-04-2013,5.800000191,6,5.75,5.78000021,5.78000021,110018
26-04-2013,5.650000095,5.840000153,5.550000191,5.570000172,5.570000172,174428
29-04-2013,5.599999905,5.690000057,5.550000191,5.650000095,5.650000095,120837
30-04-2013,5.800000191,5.800000191,5.550000191,5.610000134,5.610000134,128777
02-05-2013,5.849999905,5.849999905,5.550000191,5.599999905,5.599999905,87821
03-05-2013,5.5,5.849999905,5.5,5.739999771,5.739999771,180903
06-05-2013,5.800000191,5.889999866,5.670000076,5.710000038,5.710000038,127874
07-05-2013,5.699999809,5.800000191,5.599999905,5.710000038,5.710000038,216015
08-05-2013,5.699999809,6.289999962,5.650000095,6.010000229,6.010000229,649901
09-05-2013,6,6.599999905,6,6.119999886,6.119999886,700541
10-05-2013,6.119999886,6.25,5.909999847,5.989999771,5.989999771,331089
13-05-2013,6.25,6.429999828,5.860000134,6.019999981,6.019999981,329973
14-05-2013,5.949999809,6.050000191,5.699999809,5.869999886,5.869999886,466941
15-05-2013,5.900000095,6,5.75,5.789999962,5.789999962,228426
16-05-2013,5.889999866,5.889999866,5.619999886,5.670000076,5.670000076,327599
17-05-2013,5.800000191,5.849999905,5.550000191,5.800000191,5.800000191,262690
20-05-2013,5.849999905,5.900000095,5.619999886,5.650000095,5.650000095,254857
21-05-2013,5.599999905,5.699999809,5.550000191,5.579999924,5.579999924,148507
22-05-2013,5.579999924,5.599999905,5.480000019,5.5,5.5,217295
23-05-2013,5.570000172,5.590000153,5.199999809,5.340000153,5.340000153,252001
24-05-2013,5.690000057,5.690000057,5.199999809,5.309999943,5.309999943,115365
27-05-2013,5.300000191,5.489999771,5.170000076,5.239999771,5.239999771,181068
28-05-2013,5.239999771,5.400000095,5.179999828,5.21999979,5.21999979,226589
29-05-2013,5.289999962,5.440000057,5.199999809,5.21999979,5.21999979,263253
30-05-2013,5.179999828,5.269999981,5.050000191,5.090000153,5.090000153,214605
31-05-2013,5.690000057,5.690000057,4.96999979,5,5,290628
03-06-2013,5,5.119999886,4.880000114,4.949999809,4.949999809,250723
04-06-2013,5,5.070000172,4.860000134,4.920000076,4.920000076,152700
05-06-2013,4.900000095,4.96999979,4.550000191,4.769999981,4.769999981,447127
06-06-2013,4.980000019,5,4.710000038,4.929999828,4.929999828,159121
07-06-2013,5.099999905,5.909999847,4.849999905,5.820000172,5.820000172,962331
10-06-2013,6.019999981,6.300000191,5.400000095,5.480000019,5.480000019,692986
11-06-2013,5.5,5.590000153,5,5.039999962,5.039999962,320045
12-06-2013,5.199999809,5.46999979,5.059999943,5.199999809,5.199999809,141501
13-06-2013,5.25,5.340000153,5.050000191,5.090000153,5.090000153,156838
14-06-2013,5.300000191,5.300000191,5.079999924,5.110000134,5.110000134,146356
17-06-2013,5.099999905,5.150000095,4.96999979,5.010000229,5.010000229,106953
18-06-2013,4.920000076,5.179999828,4.920000076,5.03000021,5.03000021,76327
19-06-2013,5.099999905,5.369999886,5.039999962,5.150000095,5.150000095,190044
20-06-2013,5.150000095,5.179999828,4.960000038,5.059999943,5.059999943,262718
21-06-2013,5.190000057,5.190000057,4.949999809,5,5,144372
24-06-2013,5.139999866,5.25,4.820000172,4.889999866,4.889999866,213734
25-06-2013,5.519999981,5.519999981,4.75,4.96999979,4.96999979,210080
26-06-2013,5.480000019,5.480000019,4.650000095,4.730000019,4.730000019,208286
27-06-2013,5.289999962,5.289999962,4.699999809,4.730000019,4.730000019,199658
28-06-2013,4.989999771,4.989999771,4.730000019,4.820000172,4.820000172,169769
01-07-2013,5.139999866,5.139999866,4.889999866,4.960000038,4.960000038,138726
02-07-2013,5,5.139999866,4.900000095,4.980000019,4.980000019,162490
03-07-2013,5.179999828,5.179999828,4.849999905,4.960000038,4.960000038,98543
04-07-2013,4.920000076,5.5,4.869999886,5.269999981,5.269999981,838659
05-07-2013,5.269999981,5.449999809,5.010000229,5.079999924,5.079999924,644677
08-07-2013,5.090000153,5.099999905,4.949999809,5.010000229,5.010000229,200344
09-07-2013,4.909999847,5.230000019,4.900000095,4.960000038,4.960000038,265609
10-07-2013,4.909999847,5.099999905,4.909999847,5,5,87952
11-07-2013,4.920000076,5.190000057,4.920000076,5.079999924,5.079999924,181140
12-07-2013,5.059999943,5.239999771,5.019999981,5.050000191,5.050000191,140983
15-07-2013,5.010000229,5.199999809,5.010000229,5.090000153,5.090000153,163972
16-07-2013,5.199999809,5.199999809,4.96999979,5.070000172,5.070000172,138914
17-07-2013,5.03000021,5.150000095,5,5.079999924,5.079999924,207090
18-07-2013,5.139999866,5.139999866,4.980000019,5.059999943,5.059999943,132187
19-07-2013,5.099999905,5.099999905,4.949999809,4.980000019,4.980000019,126942
22-07-2013,5,5.150000095,4.849999905,4.909999847,4.909999847,149795
23-07-2013,4.909999847,4.980000019,4.800000191,4.820000172,4.820000172,250459
24-07-2013,4.880000114,4.880000114,4.46999979,4.510000229,4.510000229,450366
25-07-2013,4.849999905,4.849999905,4.420000076,4.53000021,4.53000021,379538
26-07-2013,4.550000191,4.630000114,4.349999905,4.429999828,4.429999828,218577
29-07-2013,4.769999981,4.769999981,4.369999886,4.440000057,4.440000057,123291
30-07-2013,4.650000095,4.650000095,3.950000048,3.970000029,3.970000029,436207
31-07-2013,3.970000029,3.970000029,3.599999905,3.900000095,3.900000095,319059
01-08-2013,3.920000076,4.150000095,3.849999905,3.980000019,3.980000019,180467
02-08-2013,4,4,3.75,3.819999933,3.819999933,280004
05-08-2013,4.460000038,4.460000038,3.700000048,3.849999905,3.849999905,206075
06-08-2013,4.079999924,4.079999924,3.680000067,3.730000019,3.730000019,256561
07-08-2013,3.839999914,3.839999914,3.599999905,3.769999981,3.769999981,311144
08-08-2013,3.940000057,3.940000057,3.650000095,3.789999962,3.789999962,343766
12-08-2013,3.869999886,3.99000001,3.769999981,3.930000067,3.930000067,296395
13-08-2013,3.99000001,4.710000038,3.950000048,4.639999866,4.639999866,887901
14-08-2013,4.960000038,4.960000038,4.199999809,4.369999886,4.369999886,612071
16-08-2013,4.369999886,4.369999886,4.010000229,4.099999905,4.099999905,199964
19-08-2013,4.320000172,4.599999905,3.950000048,4.389999866,4.389999866,398814
20-08-2013,4.599999905,4.739999771,4.21999979,4.46999979,4.46999979,298728
21-08-2013,4.5,4.679999828,4.050000191,4.170000076,4.170000076,313533
22-08-2013,4.440000057,4.440000057,4.130000114,4.170000076,4.170000076,263732
23-08-2013,4.449999809,4.449999809,4.159999847,4.199999809,4.199999809,175233
26-08-2013,4.199999809,4.329999924,4.119999886,4.179999828,4.179999828,75665
27-08-2013,4.21999979,4.21999979,4,4.03000021,4.03000021,108448
28-08-2013,4.099999905,4.099999905,3.660000086,3.99000001,3.99000001,179593
29-08-2013,3.900000095,4.099999905,3.700000048,3.970000029,3.970000029,118889
30-08-2013,3.99000001,4.099999905,3.99000001,4.010000229,4.010000229,122344
02-09-2013,4.099999905,4.349999905,3.930000067,4.269999981,4.269999981,241499
03-09-2013,4.380000114,4.380000114,4.090000153,4.110000134,4.110000134,208559
04-09-2013,4.110000134,4.150000095,4.050000191,4.059999943,4.059999943,139020
05-09-2013,4.099999905,4.199999809,4.070000172,4.099999905,4.099999905,191546
06-09-2013,4.150000095,4.25,4.099999905,4.150000095,4.150000095,184208
10-09-2013,4.099999905,4.440000057,4.099999905,4.159999847,4.159999847,216084
11-09-2013,4.130000114,4.21999979,3.950000048,4.010000229,4.010000229,464366
12-09-2013,4.03000021,4.550000191,4.03000021,4.239999771,4.239999771,482174
13-09-2013,4.25,4.449999809,4.230000019,4.389999866,4.389999866,252610
16-09-2013,4.389999866,4.820000172,4.389999866,4.510000229,4.510000229,313682
17-09-2013,4.599999905,4.599999905,4.400000095,4.440000057,4.440000057,126686
18-09-2013,4.590000153,4.650000095,4.440000057,4.5,4.5,183738
19-09-2013,4.619999886,4.679999828,4.349999905,4.429999828,4.429999828,283262
20-09-2013,4.550000191,4.550000191,4.320000172,4.389999866,4.389999866,134911
23-09-2013,4.449999809,4.489999771,4.25,4.389999866,4.389999866,152949
24-09-2013,4.5,4.5,4.25,4.340000153,4.340000153,176309
25-09-2013,4.320000172,4.400000095,4.159999847,4.21999979,4.21999979,139150
26-09-2013,4.170000076,5.059999943,4.170000076,5.059999943,5.059999943,1453649
27-09-2013,5.300000191,6,4.800000191,5.570000172,5.570000172,2264318
30-09-2013,5.699999809,6.480000019,5.650000095,6.269999981,6.269999981,1918315
01-10-2013,6.400000095,6.849999905,5.739999771,5.900000095,5.900000095,1770090
03-10-2013,5.960000038,5.96999979,5.53000021,5.679999828,5.679999828,919983
04-10-2013,5.699999809,5.900000095,5.5,5.570000172,5.570000172,420105
07-10-2013,5.599999905,5.610000134,5.340000153,5.420000076,5.420000076,400704
08-10-2013,5.5,5.5,5.059999943,5.21999979,5.21999979,418605
09-10-2013,5.099999905,5.739999771,5.059999943,5.739999771,5.739999771,778002
10-10-2013,5.800000191,5.989999771,5.449999809,5.639999866,5.639999866,703576
11-10-2013,5.599999905,5.739999771,5.449999809,5.650000095,5.650000095,226545
14-10-2013,5.869999886,5.869999886,5.510000229,5.619999886,5.619999886,159760
15-10-2013,5.78000021,5.78000021,5.369999886,5.420000076,5.420000076,152044
17-10-2013,5.489999771,5.599999905,5.420000076,5.539999962,5.539999962,144089
18-10-2013,5.28000021,5.630000114,5.28000021,5.480000019,5.480000019,219765
21-10-2013,5.5,5.75,5.460000038,5.75,5.75,217952
22-10-2013,6.019999981,6.03000021,5.880000114,6.03000021,6.03000021,439355
23-10-2013,6.289999962,6.300000191,6,6.190000057,6.190000057,850526
24-10-2013,6.199999809,6.489999771,6.010000229,6.440000057,6.440000057,707589
25-10-2013,6.300000191,6.429999828,6.119999886,6.119999886,6.119999886,360854
