Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,34.20000076293945,35.400001525878906,34.20000076293945,35.099998474121094,28.607162475585938,4840504
2010-01-05,35.599998474121094,36.20000076293945,34.900001525878906,35.75,29.136926651000977,7135982
2010-01-06,36.150001525878906,36.54999923706055,35.599998474121094,36.099998474121094,29.422183990478516,7312888
2010-01-07,36.150001525878906,36.25,35.25,35.45000076293945,28.892425537109375,2716173
2010-01-08,35.79999923706055,36.04999923706055,35.150001525878906,35.29999923706055,28.77016830444336,2437801
2010-01-11,35.900001525878906,36.099998474121094,35.5,35.849998474121094,29.218429565429688,2682837
2010-01-12,36.04999923706055,36.900001525878906,35.29999923706055,35.54999923706055,28.973922729492188,6419690
2010-01-13,35.5,37.599998474121094,35.150001525878906,37.45000076293945,30.522462844848633,13603223
2010-01-14,37.849998474121094,37.95000076293945,36.79999923706055,37.099998474121094,30.237205505371094,8268180
2010-01-15,37.25,37.75,36.70000076293945,36.849998474121094,30.033449172973633,4626139
2010-01-18,36.79999923706055,37.20000076293945,36.5,36.849998474121094,30.033449172973633,3424454
2010-01-19,37.0,37.75,36.29999923706055,36.650001525878906,29.87044906616211,5817509
2010-01-20,36.75,37.45000076293945,35.70000076293945,35.900001525878906,29.25918197631836,3232793
2010-01-21,35.75,36.150001525878906,33.70000076293945,34.099998474121094,27.792144775390625,4138122
2010-01-22,33.650001525878906,33.95000076293945,32.70000076293945,33.650001525878906,27.425392150878906,3710547
2010-01-25,33.79999923706055,34.150001525878906,33.0,33.20000076293945,27.058629989624023,1675334
2010-01-27,33.0,33.900001525878906,31.0,31.5,25.673097610473633,4634999
2010-01-28,31.700000762939453,32.45000076293945,30.299999237060547,30.5,24.85807991027832,10437700
2010-01-29,29.899999618530273,31.600000381469727,29.549999237060547,31.350000381469727,25.550844192504883,5341622
2010-02-01,31.149999618530273,32.29999923706055,30.799999237060547,31.899999618530273,25.99910545349121,4074913
2010-02-02,32.599998474121094,32.650001525878906,31.049999237060547,31.25,25.469341278076172,4134330
2010-02-03,31.75,32.45000076293945,31.399999618530273,32.150001525878906,26.202861785888672,3131166
2010-02-04,32.150001525878906,32.20000076293945,30.600000381469727,31.049999237060547,25.306337356567383,2623219
2010-02-05,30.299999237060547,31.0,29.950000762939453,30.399999618530273,24.77657699584961,2694507
2010-02-08,31.600000381469727,31.600000381469727,30.399999618530273,31.100000381469727,25.347091674804688,2688120
2010-02-09,31.100000381469727,31.299999237060547,30.700000762939453,31.0,25.265588760375977,1702844
2010-02-10,31.350000381469727,31.450000762939453,30.450000762939453,30.549999237060547,24.89883041381836,2004825
2010-02-11,30.700000762939453,32.0,30.700000762939453,31.350000381469727,25.550844192504883,4013868
2010-02-15,30.450000762939453,32.150001525878906,30.450000762939453,30.850000381469727,25.14333724975586,3409957
2010-02-16,31.0,31.350000381469727,30.549999237060547,31.149999618530273,25.387840270996094,2401801
2010-02-17,31.450000762939453,31.549999237060547,30.649999618530273,30.899999618530273,25.1840877532959,2846985
2010-02-18,30.200000762939453,31.100000381469727,30.100000381469727,30.25,24.654325485229492,2981706
2010-02-19,30.0,30.049999237060547,29.100000381469727,29.450000762939453,24.002307891845703,3115604
2010-02-22,29.700000762939453,30.0,28.799999237060547,28.950000762939453,23.59480094909668,2485749
2010-02-23,28.700000762939453,29.049999237060547,27.649999618530273,27.950000762939453,22.7797794342041,2392863
2010-02-24,27.899999618530273,28.25,27.0,27.25,22.20926856994629,3773314
2010-02-25,27.5,27.899999618530273,26.399999618530273,26.600000381469727,21.679506301879883,12942733
2010-02-26,26.799999237060547,27.950000762939453,26.649999618530273,27.549999237060547,22.453773498535156,4828338
2010-03-02,27.700000762939453,28.5,27.700000762939453,28.200000762939453,22.983535766601562,2635928
2010-03-03,28.399999618530273,28.600000381469727,28.100000381469727,28.299999237060547,23.06503677368164,4990342
2010-03-04,28.200000762939453,28.5,27.850000381469727,28.100000381469727,22.90203285217285,5015705
2010-03-05,28.399999618530273,30.700000762939453,28.350000381469727,30.399999618530273,24.77657699584961,12856596
2010-03-08,30.700000762939453,30.899999618530273,29.799999237060547,30.200000762939453,24.613574981689453,4495248
2010-03-09,30.25,30.75,29.700000762939453,29.950000762939453,24.409820556640625,3457483
2010-03-10,30.0,30.200000762939453,29.049999237060547,29.299999237060547,23.880056381225586,3322476
2010-03-11,29.299999237060547,29.899999618530273,29.049999237060547,29.299999237060547,23.880056381225586,2261766
2010-03-12,29.399999618530273,29.600000381469727,28.75,28.950000762939453,23.59480094909668,2081772
2010-03-15,28.899999618530273,28.950000762939453,27.649999618530273,28.25,23.0242862701416,3142330
2010-03-16,28.5,29.200000762939453,28.25,29.100000381469727,23.717050552368164,2945533
2010-03-17,29.200000762939453,29.600000381469727,28.75,28.899999618530273,23.554048538208008,3446945
2010-03-18,29.0,29.350000381469727,28.75,28.950000762939453,23.59480094909668,1838147
2010-03-19,29.0,29.649999618530273,28.950000762939453,29.25,23.839305877685547,2175381
